Date,"Bayer
Close Price","BMW
Close Price","Siemens
Close Price"
2016/7/11,92.74,70.04,92.45
2016/7/8,90.92,68.44,89.24
2016/7/7,88.62,65.6,88.1
2016/7/6,88.27,65.1,88.04
2016/7/5,90.1,65.21,89.83
2016/7/4,90.55,66.79,91.75
2016/7/1,90.69,67.79,92.06
2016/6/30,90,65.79,91.81
2016/6/29,89.11,65.88,90.77
2016/6/28,89.14,65.83,89.19
2016/6/27,86.98,65.67,87.39
2016/6/24,87.64,68.66,90.52
2016/6/23,93.17,74.25,97.76
2016/6/22,91.84,72.47,96.1
2016/6/21,91.74,72.64,95.76
2016/6/20,90.42,72.24,94.95
2016/6/17,88.08,68.97,92.29
2016/6/16,87.77,68.3,90.89
2016/6/15,88.1,68.56,91.77
2016/6/14,87.16,67.6,90.17
2016/6/13,88.06,69.34,91.55
2016/6/10,88,70.7,93.18
2016/6/9,90.23,71.84,95.62
2016/6/8,91.64,73,96.31
2016/6/7,91.97,73.83,97.36
2016/6/6,89.18,72.24,95.72
2016/6/3,89.34,72.27,95.29
2016/6/2,88.14,74.05,96.45
2016/6/1,86.25,73.93,96.98
2016/5/31,85.63,75.89,96.79
2016/5/30,86.44,75.76,98.35
2016/5/27,85.33,75.16,98.69
2016/5/26,85.65,75.45,97.7
2016/5/25,87.15,73.86,97.12
2016/5/24,87.15,72.14,95.09
2016/5/23,84.42,70.82,93.48
2016/5/20,89.54,71.7,94
2016/5/19,88.51,70.66,92.76
2016/5/18,96.42,70.99,93.72
2016/5/17,95.75,71.56,93.23
2016/5/16,96.14,73.77,93.6
2016/5/13,96.14,73.77,93.6
2016/5/12,95.15,75.72,93.24
2016/5/11,100,76.9,94.33
2016/5/10,100.15,78.01,94.41
2016/5/9,99.95,76.52,93.03
2016/5/6,97.77,75.69,92.67
2016/5/5,98.17,75.53,91.91
2016/5/4,96.78,76.45,91.21
2016/5/3,98.28,78.03,89.96
2016/5/2,99.84,81.12,91.32
2016/4/29,100.75,80.5,91.12
2016/4/28,104.25,83.94,94.27
2016/4/27,105.65,83.36,95.3
2016/4/26,108.45,82.6,94.78
2016/4/25,109.7,81.94,95.44
2016/4/22,110.3,82.78,96.29
2016/4/21,110.45,84.15,96.54
2016/4/20,109.7,84.02,96.22
2016/4/19,109.65,83.07,95.39
2016/4/18,106.55,80.41,93.11
2016/4/15,105.7,78.37,92.77
2016/4/14,105.75,79.2,93.04
2016/4/13,105.4,78,92.2
2016/4/12,102.55,75.35,89.81
2016/4/11,102.05,74.79,89.39
2016/4/8,101.75,74.3,89.25
2016/4/7,100.15,73.85,88.08
2016/4/6,101.25,75,89.83
2016/4/5,100,74.63,89.18
2016/4/4,102.9,77.54,91.44
2016/4/1,101.1,78,90.81
2016/3/31,103.3,80.7,93.15
2016/3/30,103.4,82.11,93.33
2016/3/29,102.3,80.45,91.52
2016/3/28,102.5,79.58,90.9
2016/3/25,102.5,79.58,90.9
2016/3/24,102.5,79.58,90.9
2016/3/23,104.2,81.06,92.42
2016/3/22,103.7,81.38,92.71
2016/3/21,102.5,81.2,91.99
2016/3/18,99.26,81.58,92.72
2016/3/17,98.88,81.02,91.34
2016/3/16,99.76,82.63,91.46
2016/3/15,100,79.56,90.53
2016/3/14,100.25,80.23,91.17
2016/3/11,97.96,78.72,89.13
2016/3/10,95.55,75.42,86.86
2016/3/9,98.4,78.54,89.55
2016/3/8,97.6,80.02,88.7
2016/3/7,98.25,81.87,89.28
2016/3/4,98.49,82.63,89.84
2016/3/3,97.62,81.15,88.06
2016/3/2,98.84,80.43,87.32
2016/3/1,98.07,78.31,87.16
2016/2/29,96.43,75.15,85.46
2016/2/26,97.83,73.89,86.31
2016/2/25,95.41,71.3,84.12
2016/2/24,94.79,70.2,82.49
2016/2/23,97.2,73.14,85.01
2016/2/22,98.97,75.2,86.43
2016/2/19,98.03,73.83,84.55
2016/2/18,98.96,75.35,84.89
2016/2/17,97.69,75.39,84.48
2016/2/16,95.3,72.82,82.15
2016/2/15,96.43,73.08,82.23
2016/2/12,94.77,70.26,80.65
2016/2/11,92.82,67.18,79.23
2016/2/10,94.85,69.08,82.25
2016/2/9,93.17,67.83,81.99
2016/2/8,94.51,69.3,82.55
2016/2/5,96.4,72.41,84.55
2016/2/4,98.47,71.49,85.14
2016/2/3,98.54,72.7,84.81
2016/2/2,100.35,74.03,85.99
2016/2/1,102.55,75.47,87.45
2016/1/29,103.4,76.66,88.18
2016/1/28,101.95,77.62,86.53
2016/1/27,105.05,79.96,88.47
2016/1/26,105.35,79.4,90.6
2016/1/25,105.8,78.92,83.41
2016/1/22,105.55,79.71,83.24
2016/1/21,103.2,78.7,81.53
2016/1/20,100.45,76.77,80.3
2016/1/19,102.5,78.86,82.26
2016/1/18,101.05,78.1,81.33
2016/1/15,100.6,78.02,81.7
2016/1/14,102.85,80.11,83.28
2016/1/13,104.35,82.89,83.13
2016/1/12,104.2,84.85,83.45
2016/1/11,102.8,83.14,82.97
2016/1/8,103.9,83.44,83.51
2016/1/7,106.85,85.44,84.09
2016/1/6,109.65,88.78,85.73
2016/1/5,111.25,91.82,86.07
2016/1/4,111.05,92.25,85.53
2016/1/1,115.8,97.63,89.88
2015/12/31,115.8,97.63,89.88
2015/12/30,115.8,97.63,89.88
2015/12/29,117.9,98.56,90.85
2015/12/28,115.5,97.35,89.14
2015/12/25,116.1,98.55,89.64
2015/12/24,116.1,98.55,89.64
2015/12/23,116.1,98.55,89.64
2015/12/22,113.4,96.35,87.51
2015/12/21,114.2,95.5,88.02
2015/12/18,115.85,96.71,89.03
2015/12/17,118.6,98.72,90.07
2015/12/16,114,95.49,88.21
2015/12/15,113.4,94.69,88.2
2015/12/14,109.85,91.9,86.25
2015/12/11,112.1,94.11,87.75
2015/12/10,114.7,97.27,89.61
2015/12/9,113.6,97.14,90.46
2015/12/8,116,97.2,90.77
2015/12/7,118.5,99.99,92.98
2015/12/4,116.45,98.17,92.09
2015/12/3,117.7,98.34,91.9
2015/12/2,123.85,102.65,95.89
2015/12/1,124.85,103.3,96.94
2015/11/30,126.3,103.3,98.14
2015/11/27,125.8,101.5,96.87
2015/11/26,126.85,100.85,97.2
2015/11/25,124.65,99.5,95.94
2015/11/24,122.9,96.76,94.54
2015/11/23,125.35,98.45,95.82
2015/11/20,126.2,99.17,96.11
2015/11/19,125.8,98.73,95.83
2015/11/18,124.15,97.45,94.25
2015/11/17,124.85,97.26,94.77
2015/11/16,120.35,94.71,92.18
2015/11/13,119.7,94.54,92.86
2015/11/12,120.4,94.46,93.95
2015/11/11,122.55,96.18,92.18
2015/11/10,121,95.93,91.88
2015/11/9,120.75,94.96,92.35
2015/11/6,123.45,96.03,94.08
2015/11/5,122.4,92.78,92.67
